algorithm,category,mode,data_size_label,data_size_bytes,trial,encrypt_time_ms,decrypt_time_ms,encrypt_peak_memory_kb,decrypt_peak_memory_kb,encrypt_throughput_mbps,decrypt_throughput_mbps,ciphertext_bytes,roundtrip_valid
AES-128,Conventional,CTR,1KB,1024,1,9.564707,9.446169,5.749,5.749,0.8565,0.8672,1024,True
AES-128,Conventional,CTR,1KB,1024,2,8.993159,9.151175,5.749,5.749,0.9109,0.8952,1024,True
AES-128,Conventional,CTR,1KB,1024,3,8.74218,9.294504,5.749,5.749,0.9371,0.8814,1024,True
AES-128,Conventional,CTR,1KB,1024,4,8.79231,9.427253,5.749,5.749,0.9317,0.869,1024,True
AES-128,Conventional,CTR,1KB,1024,5,8.78399,9.054292,5.749,5.749,0.9326,0.9048,1024,True
AES-128,Conventional,CTR,1KB,1024,6,8.770731,8.679495,5.749,5.749,0.934,0.9438,1024,True
AES-128,Conventional,CTR,1KB,1024,7,8.942859,8.664172,5.749,5.749,0.916,0.9455,1024,True
AES-128,Conventional,CTR,1KB,1024,8,9.000866,8.824131,5.749,5.749,0.9101,0.9284,1024,True
AES-128,Conventional,CTR,1KB,1024,9,9.2299,9.219663,5.749,5.749,0.8876,0.8885,1024,True
AES-128,Conventional,CTR,1KB,1024,10,8.812493,8.702404,5.749,5.749,0.9296,0.9413,1024,True
AES-128,Conventional,CTR,10KB,10240,1,87.716214,86.998243,21.394,21.394,0.9339,0.9416,10240,True
AES-128,Conventional,CTR,10KB,10240,2,86.427838,88.608404,21.394,21.394,0.9478,0.9245,10240,True
AES-128,Conventional,CTR,10KB,10240,3,86.255893,86.750965,21.394,21.394,0.9497,0.9443,10240,True
AES-128,Conventional,CTR,10KB,10240,4,85.998129,85.409614,21.394,21.394,0.9526,0.9591,10240,True
AES-128,Conventional,CTR,10KB,10240,5,84.886171,85.868957,21.394,21.394,0.9651,0.954,10240,True
AES-128,Conventional,CTR,10KB,10240,6,85.762188,86.803275,21.394,21.394,0.9552,0.9437,10240,True
AES-128,Conventional,CTR,10KB,10240,7,86.006017,86.014067,21.394,21.394,0.9525,0.9524,10240,True
AES-128,Conventional,CTR,10KB,10240,8,84.911492,85.005473,21.394,21.394,0.9648,0.9637,10240,True
AES-128,Conventional,CTR,10KB,10240,9,83.635277,89.579007,21.394,21.394,0.9795,0.9145,10240,True
AES-128,Conventional,CTR,10KB,10240,10,84.266529,84.612816,21.394,21.394,0.9722,0.9682,10240,True
PRESENT-80,Lightweight,CTR,1KB,1024,1,330.530506,322.420654,3.852,3.852,0.0248,0.0254,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,2,325.800143,325.89847,3.852,3.852,0.0251,0.0251,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,3,330.529196,326.753428,3.852,3.852,0.0248,0.0251,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,4,332.208859,329.389801,3.852,3.852,0.0247,0.0249,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,5,327.046395,328.328377,3.852,3.852,0.025,0.025,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,6,327.443109,326.687249,3.852,3.852,0.025,0.0251,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,7,328.323703,338.047206,3.852,3.852,0.025,0.0242,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,8,331.094824,323.401906,3.852,3.852,0.0247,0.0253,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,9,343.568699,324.230111,3.852,3.852,0.0238,0.0253,1024,True
PRESENT-80,Lightweight,CTR,1KB,1024,10,319.842142,322.096468,3.852,3.852,0.0256,0.0254,1024,True
PRESENT-80,Lightweight,CTR,10KB,10240,1,3251.31679,3182.487295,21.883,21.883,0.0252,0.0257,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,2,3251.1574,3393.522296,21.883,21.883,0.0252,0.0241,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,3,3301.440122,3355.907059,21.883,21.883,0.0248,0.0244,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,4,3319.289771,3301.13813,21.883,21.883,0.0247,0.0248,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,5,3270.912829,3232.890622,21.883,21.883,0.025,0.0253,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,6,3256.035622,3248.398126,21.883,21.883,0.0252,0.0252,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,7,3258.085667,3141.53354,21.883,21.883,0.0251,0.0261,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,8,3410.05236,3217.409002,21.883,21.883,0.024,0.0255,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,9,3239.054442,3225.626041,21.883,21.883,0.0253,0.0254,10240,True
PRESENT-80,Lightweight,CTR,10KB,10240,10,3246.037651,3257.310489,21.883,21.883,0.0252,0.0251,10240,True
SPECK-64/128,Lightweight,CTR,1KB,1024,1,17.907432,18.124304,3.57,3.57,0.4575,0.452,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,2,18.816767,17.906676,3.57,3.57,0.4354,0.4575,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,3,17.915209,18.613069,3.57,3.57,0.4573,0.4401,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,4,26.234657,18.110678,3.57,3.57,0.3123,0.4523,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,5,18.029015,17.803701,3.57,3.57,0.4544,0.4601,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,6,19.037168,18.723628,3.57,3.57,0.4303,0.4375,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,7,18.031904,19.030733,3.57,3.57,0.4543,0.4305,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,8,19.380982,19.544191,3.57,3.57,0.4227,0.4192,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,9,19.569778,19.638953,3.57,3.57,0.4186,0.4171,1024,True
SPECK-64/128,Lightweight,CTR,1KB,1024,10,21.456667,17.585269,3.57,3.57,0.3818,0.4658,1024,True
SPECK-64/128,Lightweight,CTR,10KB,10240,1,183.745684,178.944744,21.602,21.602,0.4458,0.4578,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,2,178.178885,178.115886,21.602,21.602,0.4598,0.4599,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,3,179.636699,183.205847,21.602,21.602,0.456,0.4471,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,4,213.830097,225.856204,21.602,21.602,0.3831,0.3627,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,5,178.342369,179.009219,21.602,21.602,0.4593,0.4576,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,6,179.453733,177.711609,21.602,21.602,0.4565,0.461,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,7,182.490361,179.63872,21.602,21.602,0.4489,0.456,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,8,181.738844,185.900498,21.602,21.602,0.4508,0.4407,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,9,187.06884,181.320627,21.602,21.602,0.4379,0.4518,10240,True
SPECK-64/128,Lightweight,CTR,10KB,10240,10,179.478754,182.248617,21.602,21.602,0.4564,0.4495,10240,True
ASCON-128,Lightweight,AEAD,1KB,1024,1,38.636684,38.4482,4.6,3.672,0.212,0.2131,1040,True
ASCON-128,Lightweight,AEAD,1KB,1024,2,39.033195,37.804786,4.6,3.672,0.2099,0.2167,1040,True
ASCON-128,Lightweight,AEAD,1KB,1024,3,39.028368,40.096557,4.6,3.672,0.2099,0.2043,1040,True
ASCON-128,Lightweight,AEAD,1KB,1024,4,40.510047,39.641558,4.6,3.672,0.2022,0.2067,1040,True
ASCON-128,Lightweight,AEAD,1KB,1024,5,62.710993,44.042704,4.6,3.672,0.1306,0.186,1040,True
ASCON-128,Lightweight,AEAD,1KB,1024,6,38.174134,37.873914,4.6,3.672,0.2146,0.2163,1040,True
ASCON-128,Lightweight,AEAD,1KB,1024,7,38.268482,38.575408,4.6,3.672,0.2141,0.2124,1040,True
ASCON-128,Lightweight,AEAD,1KB,1024,8,39.33898,38.946073,4.6,3.672,0.2082,0.2103,1040,True
